text,label,split
"I'm totally surprised by some of the comments on this forum, and many of the reviews. I think Tony Scott made a good movie here. Yes, it is highly stylized, flashy and over the top, but it is very entertaining. I'm glad at least Ebert and Roeper agrees with me :) This movie may not be for anyone, but if you like over-the-top, dark humor, cool action and dialog, you should see it. I've previously seen Scott's Man on Fire, Crimson Tide and Enemy of the State - all good movies, but I like this one more. It's like a roller-coaster ride, with great soundtrack selections, visual styles and in a time when all movies seem to be pg13, it is nice to see that someone isn't afraid of showing nudity, gory violence, and have explicit dialog. It doesn't hurt that Keira is super-hot, and even shows nipples in this one, either...",1,train
"Yet another colourful excuse for men in rubber suits to wrestle with each other. This time around, time travellers from the future arrive in 1992 and recruit a few people to go back with them to 1944 and prevent the creation of Godzilla, thus saving a future Japan from destruction. But having accomplished this task, the time travellers are revealed to be a bunch of double crossers whose own creature goes on the rampage, and with no Godzilla to stop it Eek! It all sounds very silly, and it probably is, but the plot is surprisingly decent and the final battle looks pretty good too. Unfortunately the rest of the visual effects are just rubbish rather than enjoyably rubbish, and the movie turns out to be just as dull as its predecessors. Look out for the shaky Spielberg in-joke.",0,train
"'Dead Letter Office' is a low-budget film about a couple of employees of the Australian postal service, struggling to rebuild their damaged lives. Unfortunately, the acting is poor and the links between the characters' past misfortunes and present mindsets are clumsily and over-schematically represented. What's most disappointing of all, however, is the portrayal is life in the office of the film's title: there's no mechanisation whatsoever, and it's quite impossible to ascertain what any of the staff really do for a living. Granted, part of the plot is that the office is threatened with closure, but this sort of office surely closed in the 1930s, if it ever truly existed. It's a shame, as the film's overall tone is poignant and wry, and there's some promise in the scenario: but few of the details convince. Overall, it feels the work of someone who hasn't actually experienced much of real life; a student film, with a concept and an outline, but sadly little else.",0,train
"This movie has some fatal flaws in it, how someone could walk through an open back door of a highly secure medical facility is unbelievable. Then this same person just walks around the facility and enters the Dr.'s office, is just bad writing or bad editing. Very very very predictable movie. I am not sure how this film got made, except it is was filmed in Canada, and probably received a government grant. I must say the person playing Aaron, Cory Monteith, did a good job. Unless you are really bored and there is nothing else to watch on television then I would say it will kill some time, but otherwise, it is a movie no actor would want on their resume.",0,train
"I'm sure things didn't exactly go the same way in the real life of Homer Hickam as they did in the film adaptation of his book, Rocket Boys, but the movie ""October Sky"" (an anagram of the book's title) is good enough to stand alone. I have not read Hickam's memoirs, but I am still able to enjoy and understand their film adaptation. The film, directed by Joe Johnston and written by Lewis Colick, records the story of teenager Homer Hickam (Jake Gyllenhaal), beginning in October of 1957. It opens with the sound of a radio broadcast, bringing news of the Russian satellite Sputnik, the first artificial satellite in orbit. We see a images of a blue-gray town and its people: mostly miners working for the Olga Coal Company. One of the miners listens to the news on a hand-held radio as he enters the elevator shaft, but the signal is lost as he disappears into the darkness, losing sight of the starry sky above him. A melancholy violin tune fades with this image. We then get a jolt of Elvis on a car radio as words on the screen inform us of the setting: October 5, 1957, Coalwood, West Virginia. Homer and his buddies, Roy Lee Cook (William Lee Scott) and Sherman O'Dell (Chad Lindberg), are talking about football tryouts. Football scholarships are the only way out of the town, and working in the mines, for these boys. ""Why are the jocks the only ones who get to go to college,"" questions Homer. Roy Lee replies, ""They're also the only ones who get the girls."" Homer doesn't make it in football like his older brother, so he is destined for the mines, and to follow in his father's footsteps as mine foreman. Until he sees the dot of light streaking across the October sky. Then he wants to build a rocket. ""I want to go into space,"" says Homer. After a disastrous attempt involving a primitive rocket and his mother's (Natalie Canerday) fence, Homer enlists the help of the nerdy Quentin Wilson (Chris Owen). Quentin asks Homer, ""What do you want to know about rockets?"" Homer quickly anwers, ""Everything."" His science teacher at Big Creek High School, Miss Frieda Riley (Laura Dern) greatly supports Homer, and the four boys work on building rockets in Homer's basement. His father, however, whose life is the mine, does not support him. John Hickam (Chris Cooper) believes that Homer shouldn't waste his time on the rockets, that the coal mines are all that matter. The coal from the mines is used to make steel, and without steel, the country would be nothing. The difficult relationship between Homer and his dad is one of the most poignant relationships I have ever seen in a film. Miss Riley introduces Homer to the idea of entering the local science fair, with a chance to go the nationals and win a college scholarship. ""You can't just dream your way out of Coalwood,"" she tells Homer. Homer and his friends act upon their dreams by working constantly on the rockets, improving the models with each attempt. Despite the many attempts, the boys do not lose their determination. ""What are the chances of us winning that science fair,"" O'Dell asks Homer in one of their more despairing moments. ""A million to one,"" answers Homer. ""That good?"" O'Dell replies, ""Well, why didn't you say so?"" The music, composed by Mark Isham, conveys sadness and hope at the same time, especially sad at a point when Homer descends into the mine shaft and loses sight of the sky and his dreams of getting out of Coalwood. Rollicking 1950s' rock and roll, including songs by The Coasters and Buddy Holly, occasionally pushes the instrumental pieces aside to create a light-hearted mood that contrasts the teenagers' lives with the lives of the miners. The film, photographed by Fred Murphy, also uses colors to set moods and symbolize. The town of Coalwood, actually filmed in Tennessee, is washed with blues, grays, and browns. It's as if the grime from the coal sticks to everything- faces, clothes, houses, and roads. When a couple in a gleaming red convertible stops to ask for directions from the boys, it is obvious that they are from the world outside of Coalwood and the Olga Coal Company. The book on guided missile design that Miss Riley gives Homer is red. The red stands out enough against the blue-gray world of Coalwood to symbolize ""getting out"", but it is still subtle. The reds are fleeting hints of a world that Homer only dreams of. Jake Gyllenhaal expresses such zeal, hope, and pertinacity as Homer Hickam that it is hard to believe he isn't the real Homer we see in actual footage at the end of the film. Chris Cooper is also extraordinarily believable as Homer's stubborn father, who doesn't recognize, or just doesn't want to admit, that the mine is not producing enough to keep the town alive. Homer, and everyone who encourages him in his rocket-building, is aware that the town is dying. With the community disintegrating, the only way they stay together is by gathering for the rocket boys' demonstrations. Again, I'm sure things didn't happen exactly as the movie portrayed them, but what would a movie be without a bit of idealism? ""October Sky"" has just enough of that to make it a great motion picture and enough rawness to keep it real.",1,train
"I just finished watching this film and WOW was that bad. Actually the only thing that kept me watching was that it was SO MONUMENTALLY bad it was kind of entertaining. The action of the characters is hilarious, from the hyper-dramatic way they fall to gunfire, to their incredibly bad acting (were the bad guys all just pulled off the street, or were they actually actors?), to incredibly bad delivery of lines, to their inexplicable actions (if you are going to try and shoot someone through a doorway as they enter, obviously the thing to do is shoot directly at the doorknob!!). This film must break some record for worst written and delivered lines. The camera work was also really bad - you can hardly see what's going on in the fight scenes due to switching camera angles and shakiness. I would have voted ""1"" except that I do like Chiba and sidekick Sue Shihomi, and I was entertained by a couple of scenes: 1) breaking of a villain's arm so the bone pops out of the skin (that's gotta hurt) 2) a drug kingpin eating a brown-furred animal (a monkey??) by hacking away at the carcass with a meat cleaver 3) Sonny Chiba's performing some impromptu eye surgery on a guy with his fingers. I am actually a big fan of Sonny Chiba but this one is really not worth anyone's time. I've seen about 7 or 8 of his films and have come to the conclusion that the only ones worth watching (and they are great!) are the Street Fighter series, and The Killing Machine. I've also heard the Executioner and Golgo 13 are good. I recommend sticking to those ones.",0,train
"I've just watch 2 films of Pang brothers, The Eye and One take only. When I watched The Eye, I was kind of disappointed about this two guys, who I had heard good words about them before. That film (The Eye) has a really bad script, especially the ending (childish,cliche and too coincident in my opinion) , but its still good in photography and experimental images. So I decided to see One take only and I didn't disappointed again. Still great photography, stunning image, MTV-style editing, cool music and this time,the story has a lot of indie spirit,logical and beautiful, you'll see some tiny plot holes, but it doesn't cause any trouble with the storyline. The only problem about this film is I get a bad DVD.",1,train
"Many of these other viewers complain that the story line has already been attempted. That may be so, but the addition of the narrator and Dr.Suess like scenery makes this show a must watch. With adult innuendo throughout the series and a touch of childhood through the set, the show is both reminiscent and invigorating. The investigative portion of the show is not what drags viewers in. The twisted plot and love lines scattered throughout this seeming paradise are what keep loyal viewers coming back for more. This is a success that ABC should never let go of. Bravo ABC. LOST was getting old, way to revitalize prime time. 9 episodes prior to the writers strike left audiences wanting more.",1,train
"It was life-changing, IT REALLY WAS!!!The Man In The Moon is a breathtaking experience to watch.The acting was fabulous, the story line was great, and this was a perfect start for Reese Witherspoon's career.I don't see how anyone couldn't love this film.Sure, it's not the best movie ever, even though it was close to it, but it was highly amusing to watch, and I even had a big laugh at one of the jokes, and a lot of other little laughs.Of course, there was some cry your heart out moments too, but this movie was enlightening, and it brightens up your day, although you have to get a little depressed from the story every now and then.I can't believe this movie didn't win at least one award, and I also can't believe that it's been seen by so little people on this site.See this movie if you haven't for it is definitely touching.",1,train
"I might have given this movie a higher rating before Peter Jackson's trilogy came out, but seeing the two of them side by side there is simply no comparison. The pace of this movie is rushed, many important scenes from the book are left out, and there is little character development. The animation is a strange mixture of traditional cartoon drawings and live action scenes that were painted over, which I found distracting. And the most disappointing thing about this movie is that it breaks off in the middle of the story and was never finished. There are some good points- the battle scenes are exciting to watch, and the dialogue follows the book pretty much to the letter. Watch this one if you're in a hurry and can't spend 10 hours watching the new trilogy. But if you haven't read the book you'll probably be confused, because there is a lot missing from this version. 4 out of 10.",0,train
"A major moneymaker for RKO Radio, Bombardier stars Pat O'Brien and Randolph Scott as trainers at a school for bomber pilots. O'Brien and Scott argue over teaching methods, while their students vie for the affections of Anne Shirley. O'Brien's methods prove sound during a bombing raid over Tokyo. Scott and his crew are captured and tortured by the Japanese, but the mortally wounded Scott manages to set fire to a gas truck, providing a perfect target for his fellow bombardiers. Stylistically, Bombardier is one of the most schizophrenic of war films, with moments of subtle poignancy (the death of trainee Eddie Albert) alternating with scenes of ludicrous ""Yellow Peril"" melodrama (the Japanese literally hiss through their teeth as they torture the helpless Americans). Though it can't help but seem dated today, Bombardier remains an entertaining propaganda effort (the film is sometimes erroneously listed as the debut of Robert Ryan, who'd actually been appearing before the cameras since 1940. Anyone interested in obtaining a copy of this film, please contact me at: iamaseal2@yahoo.com",1,train
